iter	Passed	Remaining
595	3986	9391
596	3993	9385
597	3999	9376
598	4004	9366
599	4011	9360
600	4017	9351
601	4024	9345
602	4030	9337
603	4035	9327
604	4041	9318
605	4047	9309
606	4052	9301
607	4056	9287
608	4061	9277
609	4066	9266
610	4072	9258
611	4082	9259
612	4090	9254
613	4096	9246
614	4103	9240
615	4110	9235
616	4117	9230
617	4124	9223
618	4131	9217
619	4136	9206
620	4143	9201
621	4149	9193
622	4156	9186
623	4159	9173
624	4164	9161
625	4170	9153
626	4176	9145
627	4185	9144
628	4192	9138
629	4199	9131
630	4207	9128
631	4214	9122
632	4222	9119
633	4230	9115
634	4239	9113
635	4246	9106
636	4252	9098
637	4259	9092
638	4264	9083
639	4272	9079
640	4278	9070
641	4282	9057
642	4290	9053
643	4294	9042
644	4299	9032
645	4307	9028
646	4317	9029
647	4323	9021
648	4330	9015
649	4336	9006
650	4343	8999
651	4346	8986
652	4352	8978
653	4361	8976
654	4371	8976
655	4375	8964
656	4384	8963
657	4389	8952
658	4395	8944
659	4401	8936
660	4409	8932
661	4416	8926
662	4423	8919
663	4429	8911
664	4436	8905
665	4443	8900
666	4450	8893
667	4455	8884
668	4464	8882
669	4471	8876
670	4478	8869
671	4483	8860
672	4490	8853
673	4497	8848
674	4503	8840
675	4508	8829
676	4514	8822
677	4521	8817
678	4527	8808
679	4533	8800
680	4541	8796
681	4547	8787
682	4552	8779
683	4559	8773
684	4568	8770
685	4576	8765
686	4586	8765
687	4596	8765
688	4600	8753
689	4606	8745
690	4615	8743
691	4624	8740
692	4631	8734
693	4644	8739
694	4654	8740
695	4663	8737
696	4668	8728
697	4675	8722
698	4685	8720
699	4689	8708
700	4693	8697
701	4703	8696
702	4709	8689
703	4716	8682
704	4722	8674
705	4727	8664
706	4735	8659
707	4741	8653
708	4750	8649
709	4757	8643
710	4762	8633
711	4767	8624
712	4774	8618
713	4778	8606
714	4783	8596
715	4791	8592
716	4796	8582
717	4803	8576
718	4807	8565
719	4813	8556
720	4819	8549
721	4828	8547
722	4834	8538
723	4844	8537
724	4853	8535
725	4859	8527
726	4866	8520
727	4870	8510
728	4875	8499
729	4880	8490
730	4886	8483
731	4896	8482
732	4901	8471
733	4907	8464
734	4912	8454
735	4917	8444
736	4925	8441
737	4929	8430
738	4936	8423
739	4945	8420
740	4956	8420
741	4963	8415
742	4970	8409
743	4975	8399
744	4981	8391
745	4987	8384
746	4992	8374
747	4998	8366
748	5009	8366
749	5016	8360
750	5022	8352
751	5028	8345
752	5032	8334
753	5040	8329
754	5047	8323
755	5057	8321
756	5062	8312
757	5067	8302
758	5073	8295
759	5079	8287
760	5085	8280
761	5092	8272
762	5099	8268
763	5105	8259
764	5110	8250
765	5115	8241
766	5124	8237
767	5128	8227
768	5135	8221
769	5142	8215
770	5147	8205
771	5154	8198
772	5160	8191
773	5168	8186
